iter	Passed	Remaining
587	2444	1712
588	2447	1707
589	2450	1703
590	2454	1698
591	2457	1693
592	2461	1689
593	2465	1684
594	2468	1680
595	2471	1675
596	2474	1670
597	2478	1666
598	2481	1661
599	2485	1656
600	2488	1651
601	2492	1647
602	2496	1643
603	2499	1639
604	2503	1634
605	2506	1629
606	2510	1625
607	2513	1620
608	2517	1616
609	2522	1612
610	2525	1608
611	2529	1603
612	2532	1599
613	2536	1594
614	2540	1590
615	2543	1585
616	2546	1581
617	2550	1576
618	2553	1571
619	2557	1567
620	2560	1562
621	2570	1562
622	2574	1558
623	2578	1553
624	2582	1549
625	2585	1544
626	2589	1540
627	2592	1535
628	2596	1531
629	2599	1526
630	2603	1522
631	2606	1517
632	2610	1513
633	2613	1508
634	2617	1504
635	2621	1500
636	2624	1495
637	2628	1491
638	2631	1486
639	2635	1482
640	2638	1477
641	2642	1473
642	2645	1468
643	2649	1464
644	2652	1459
645	2656	1455
646	2659	1450
647	2663	1446
648	2666	1442
649	2670	1437
650	2673	1433
651	2677	1428
652	2681	1424
653	2685	1420
654	2689	1416
655	2692	1411
656	2695	1407
657	2699	1402
658	2703	1398
659	2707	1394
660	2710	1389
661	2714	1385
662	2718	1381
663	2722	1377
664	2726	1373
665	2729	1368
666	2733	1364
667	2736	1360
668	2740	1356
669	2743	1351
670	2747	1347
671	2750	1342
672	2754	1338
673	2757	1333
674	2762	1329
675	2765	1325
676	2769	1321
677	2772	1316
678	2775	1312
679	2780	1308
680	2784	1304
681	2788	1300
682	2791	1295
683	2795	1291
684	2799	1287
685	2802	1282
686	2806	1278
687	2810	1274
688	2813	1270
689	2816	1265
690	2820	1261
691	2823	1256
692	2827	1252
693	2831	1248
694	2835	1244
695	2839	1240
696	2843	1236
697	2847	1231
698	2850	1227
699	2854	1223
700	2859	1219
701	2863	1215
702	2867	1211
703	2870	1207
704	2874	1202
705	2878	1198
706	2881	1194
707	2885	1189
708	2888	1185
709	2891	1181
710	2895	1176
711	2899	1172
712	2902	1168
713	2906	1164
714	2909	1159
715	2913	1155
716	2917	1151
717	2920	1147
718	2924	1143
719	2928	1138
720	2933	1134
721	2936	1130
722	2939	1126
723	2943	1122
724	2947	1117
725	2950	1113
726	2954	1109
727	2957	1105
728	2961	1100
729	2964	1096
730	2968	1092
731	2972	1088
732	2975	1084
733	2979	1079
734	2983	1075
735	2986	1071
736	2990	1067
737	2993	1062
738	2997	1058
739	3000	1054
740	3004	1050
741	3007	1045
742	3011	1041
743	3015	1037
744	3018	1033
745	3022	1029
746	3026	1024
747	3029	1020
748	3033	1016
749	3036	1012
750	3040	1008
751	3044	1003
752	3047	999
753	3050	995
754	3054	991
755	3058	987
756	3061	982
757	3064	978
758	3068	974
759	3071	970
760	3077	966
761	3083	963
762	3088	959
763	3094	955
764	3098	951
765	3102	947
766	3106	943
767	3109	939
768	3113	935
769	3117	931
770	3121	927
771	3125	923
772	3129	918
773	3133	914
774	3136	910
775	3140	906
776	3143	902
777	3147	898
778	3150	893
779	3154	889
780	3157	885
781	3161	881
782	3164	877
783	3168	873
784	3172	869
785	3176	864
786	3180	860
787	3184	856
788	3187	852
789	3191	848
790	3194	844
791	3198	840
792	3201	835
793	3205	831
794	3208	827
795	3212	823
796	3215	819
797	3219	814
798	3222	810
799	3226	806
800	3230	802
801	3234	798
802	3237	794
803	3241	790
804	3245	786
805	3248	781
806	3252	777
807	3255	773
808	3259	769
809	3263	765
810	3267	761
811	3270	757
812	3274	753
813	3277	749
814	3281	744
815	3285	740
816	3288	736
817	3292	732
818	3295	728
819	3299	724
820	3303	720
821	3306	716
822	3311	712
823	3314	708
824	3319	704
825	3323	700
826	3326	695
827	3330	691
828	3333	687
829	3338	683
830	3341	679
831	3345	675
832	3348	671
833	3351	667
834	3355	662
835	3358	658
836	3362	654
837	3366	650
838	3369	646
839	3372	642
840	3376	638
841	3380	634
842	3383	630
843	3386	625
844	3390	621
845	3393	617
846	3397	613
847	3400	609
848	3404	605
849	3407	601
850	3411	597
851	3415	593
852	3418	589
853	3422	585
854	3425	580
855	3429	576
856	3432	572
